====== Time Dependent Potential ======
| Variable             |       Value |
|----------------------+-------------|
| V [kcal/mol]         |   10        |
| w1 [cm^-1]           | 2517.69     |
| w2 [cm^-1]           | 2680.72     |
| l [kcal/mol]         |    5.29591  |
| x_eq [kcal/mol]      |    9.14845  |
| w_x [fs^-1]          |    0.0148   |
| th_x [rad]           |    5.5189   |
| R_eq [0.1 nm]        |    0.55362  |
| R_0 [0.1 nm]         |    0.378502 |
| w_R [cm^-1]          |  214.574    |
| th_R [rad]           |    2.58441  |
| m (Proton mass [au]) | 1836        |
